,N_peaks,Media_proem,Area,Width_peaks,Width_peaks_max,Width_peaks_min,Median,Mode,Mean,Sd
0,2,13.64931,1407.70370,46.77335,268.34375,0.90351,53.48611,7.52778,93.16340,101.41799
1,2,268.50231,6954.06944,141.34176,555.23611,2.82033,256.77083,36.37500,402.45588,374.61667
2,2,16.58218,2372.18981,44.74089,239.45139,0.66683,120.70833,46.93750,154.89461,109.03101
3,2,6.75694,5663.77546,37.42027,145.72569,0.52829,149.81944,77.49306,397.55801,451.88121
4,3,25.91667,1681.69907,41.80050,273.59028,0.67024,66.18750,10.22917,108.01144,94.42290
5,1,77.79398,2980.01852,47.62809,168.25347,5.18847,153.75694,16.64583,235.85212,366.52979
6,2,231.88542,10802.11111,289.79355,2054.91319,2.44598,224.78472,54.38194,653.48529,877.75838
7,1,45.34028,2042.31944,41.20257,141.44792,3.15803,101.09028,11.87500,137.20547,130.07755
8,1,7.56250,4271.24537,16.87413,46.49653,0.82017,55.50694,18.59028,339.37704,464.51353
9,2,66.45602,16328.02778,384.36097,2929.42014,0.50000,205.00694,96.90972,1150.21773,1414.64828
10,3,43.81404,5527.39583,63.81145,580.70139,0.77664,106.04861,31.38889,441.85090,568.48961
11,0,0.00000,8057.96065,0.00000,0.00000,0.00000,341.42361,35.56250,654.86356,999.10765
12,3,1219.61960,71771.98843,1034.57088,5070.08333,0.54512,2682.80556,133.12500,4923.80351,4457.84596
13,2,28.51620,6364.17361,85.21712,540.13542,1.59769,237.52083,48.47222,471.95547,617.22131
14,2,23.05324,4896.53704,48.27545,265.85069,0.50000,148.89583,22.66667,328.12377,341.78561
15,2,351.70255,10625.31019,195.00791,1046.15972,0.50000,514.84722,46.29167,639.33415,569.20266
16,2,30.31366,5369.02315,38.04713,144.59028,2.40127,116.02778,57.89583,389.03717,604.18067
17,2,219.88079,13482.45602,243.21428,1527.95833,1.79159,446.17361,96.18056,878.24346,711.22943
18,1,139.40509,5049.84491,104.50352,393.53819,2.56204,290.22222,12.34028,360.18423,317.15198
19,2,441.36343,10833.88426,210.73677,1435.82639,0.55700,317.12500,20.16667,676.17198,818.99250
20,2,361.41667,16190.09954,233.04061,1220.49306,1.27639,705.47917,35.22917,977.17525,677.07598
21,1,359.86806,5561.30324,159.38646,614.48264,3.40720,154.58333,51.32639,336.18832,364.28911
22,2,11.35648,1898.91204,21.68206,92.42014,0.67253,84.77083,25.01389,136.68382,165.01934
23,2,99.15394,4527.19907,121.42998,577.18403,0.50617,156.35417,54.88889,275.70343,204.88378
24,1,152.96991,6701.06250,191.23243,734.61458,2.93407,403.11111,68.51389,434.47018,294.60026
25,1,154.95602,4571.48380,90.28035,336.37153,5.69271,237.97917,44.30556,274.54902,169.40946
26,2,125.16898,5046.87037,69.06753,405.30556,1.90432,191.65278,60.88194,303.83905,226.95355
27,2,667.47106,39584.27083,841.67590,4437.60069,0.50000,2567.40972,566.01389,2472.45711,1401.76408
28,2,62.75810,4108.98380,138.89425,630.05556,0.81348,81.92361,20.46528,276.51471,258.38149
29,2,6.97685,1960.00463,81.42920,597.23611,0.50000,38.24306,11.91667,139.76389,189.57073
30,2,38.92477,4247.41667,88.70425,512.84375,1.80629,164.40972,91.87500,273.02778,168.17979
31,3,18.10648,1183.58102,23.14690,109.06944,0.65464,66.78472,29.25000,73.07435,35.95235
32,2,72.32060,2488.69213,61.44337,262.47917,2.10441,148.49306,14.72222,156.13889,115.87594
33,1,181.16898,14049.06481,216.87374,836.92014,2.54197,576.16667,61.86111,933.57802,1260.48904
34,2,350.98958,8890.51620,173.00888,712.00347,3.09480,301.66667,20.80556,510.90727,474.79117
35,2,553.11458,21556.27315,445.08761,2688.08681,0.86402,1085.38194,25.79861,1312.91258,1181.15026
36,1,10.46528,989.86806,14.30009,35.67014,2.43685,39.18750,11.65278,71.32761,96.30419
37,2,408.11111,10373.20833,257.15724,1218.06944,0.50000,283.60417,32.47222,656.44812,789.21849
38,2,301.57176,8982.77546,148.80098,968.10764,0.50000,200.22917,17.09722,592.10825,636.73402
39,1,443.46991,21782.34028,1211.33915,4814.40625,1.92639,214.81250,14.09722,1425.00041,1952.21759
40,2,8.71644,1292.61574,18.54958,81.00694,0.85288,61.15972,11.50694,92.25368,93.75655
41,2,498.63426,17483.54630,479.90640,3265.18403,0.50000,366.81944,19.59028,1035.79126,1549.77429
42,2,9.56366,4610.96759,77.48585,552.42708,0.50000,285.04167,32.73611,317.35989,280.21535
43,3,60.76312,8676.65741,221.89970,2326.52778,0.58493,155.63889,28.13889,576.79739,833.98684
